"Address","Content Type","Status Code","Status","Crawl Depth","Inlinks"
"https://api.netlify.com/api/v1/badges/a1b7ee1a-11a7-4bd2-a341-2260656e216f/deploy-status","image/svg+xml","200","OK","1","0"
"https://d33wubrfki0l68.cloudfront.net/b7d9a8db0d3618dc455abcd5a1eba992281ab78a/2f5a7/images/smiling-maple.png","image/png","200","OK","1","0"
"https://www.youtube.com/channel/UC9-rYyUMsnEBK8G8fCyrXXA","text/html; charset=utf-8","200","OK","1","174"
"https://img.shields.io/badge/-Node.js-05122A?style=flat&logo=node.js","image/svg+xml;charset=utf-8","200","OK","1","0"
"https://www.google.com/cse/static/style/look/v4/minimalist.css","text/css","200","OK","1","0"
"https://github.com/bgoonz/github-readme-activity-graph","text/html; charset=utf-8","200","OK","1","1"
"https://www.adobe.com/products/xd.html","text/html; charset=UTF-8","200","OK","1","4"
"https://www.instagram.com/bgoonz/?hl=en","text/html; charset=utf-8","200","OK","1","177"
"https://github.com/bgoonz","text/html; charset=utf-8","200","OK","1","208"
"https://bgoonz.blogspot.com/","text/html; charset=UTF-8","200","OK","1","175"
"https://www.linkedin.com/in/bryan-guner-046199128/","text/html","999","INKApi Error","1","182"
"https://devtools42.netlify.app/","text/html; charset=utf-8","200","OK","1","175"
"https://app.netlify.com/sites/bgoonz-blog/deploys","text/html; charset=UTF-8","200","OK","1","2"
"https://bgoonz-games.netlify.app/","text/html; charset=UTF-8","200","OK","1","177"
"https://meditate42app.netlify.app/","text/html;charset=UTF-8","200","OK","1","175"
"https://img.shields.io/badge/-CSS-05122A?style=flat&logo=CSS3&logoColor=1572B6","image/svg+xml;charset=utf-8","200","OK","1","0"
"https://friendly-panda-b61ab.netlify.app/","","404","Not Found","1","174"
"https://www.google.com/cse/static/element/ff97a008b4153450/default+en.css","text/css","200","OK","1","0"
"https://bryan-guner.gitbook.io/my-docs/","text/html; charset=utf-8","200","OK","1","174"
"https://web-dev-utility-tools-bgoonz.netlify.app/","text/html;charset=UTF-8","200","OK","1","1"
"https://github.com/search/advanced","","0","Blocked by robots.txt","1","174"
"https://api.searchbar.org/img/logo.svg","image/svg+xml","200","OK","1","0"
"https://img.shields.io/badge/-Git-05122A?style=flat&logo=git","image/svg+xml;charset=utf-8","200","OK","1","0"
"https://img.shields.io/badge/-Markdown-05122A?style=flat&logo=markdown","image/svg+xml;charset=utf-8","200","OK","1","0"
"https://downloads.mailchimp.com/css/signup-forms/popup/56e7ecd72519300e38d4c8e42744c00035f2bf09/modal.css","text/css","200","OK","1","0"
"https://potluck-landing.netlify.app/","text/html; charset=UTF-8","200","OK","1","349"
"https://img.shields.io/badge/-Visual%20Studio%20Code-05122A?style=flat&logo=visual-studio-code&logoColor=007ACC","image/svg+xml;charset=utf-8","200","OK","1","0"
"https://sidebar-blog.netlify.app/contact/","text/html; charset=UTF-8","200","OK","1","1"
"https://img.shields.io/badge/-GitLab-05122A?style=flat&logo=gitlab","image/svg+xml;charset=utf-8","200","OK","1","0"
"https://dev.to/bgoonz","text/html; charset=utf-8","200","OK","1","175"
"https://img.icons8.com/color/96/000000/linkedin.png","image/png","200","OK","1","0"
"https://img.icons8.com/color/96/000000/pinterest--v1.png","image/png","200","OK","1","0"
"https://www.vagrantup.com/","text/html; charset=utf-8","200","OK","1","2"
"http://bgoonz.blogspot.com/","text/html; charset=UTF-8","301","Moved Permanently","1","1"
"https://1drv.ms/b/s!AkGiZ9n9CRDSpLsZsnPtiN7p77vq6A","","301","Moved Permanently","1","1"
"https://img.shields.io/badge/-Docker-05122A?style=flat&logo=Docker","image/svg+xml;charset=utf-8","200","OK","1","0"
"https://cheatsheets-42.netlify.app/","text/html; charset=UTF-8","200","OK","1","1"
"https://d33wubrfki0l68.cloudfront.net/beba3d8052852cedc7fd41d9d05b4dffd4ea1136/d32f7/images/spectacular-turmeric.png","image/png","200","OK","1","0"
"http://open.spotify.com/bgoonz","","301","Moved Permanently","1","1"
"https://d33wubrfki0l68.cloudfront.net/0acc9a99716e3820bc8a6fa4fc9a5988e380f214/932fa/images/njdev-219301cd.jpg","image/jpeg","200","OK","1","0"
"https://d33wubrfki0l68.cloudfront.net/f776b2f35588e0ab71789925ce9564924154c4cf/df9d3/images/jamstack.png","image/png","200","OK","1","0"
"https://web-dev-interview-prep-quiz-website.netlify.app/","text/html;charset=UTF-8","200","OK","1","175"
"https://www.pinterest.com/bryanguner/_saved/","","0","Blocked by robots.txt","1","2"
"https://random-static-html-deploys.netlify.app/","text/html; charset=UTF-8","200","OK","1","2"
"https://d33wubrfki0l68.cloudfront.net/e5662f0d4f3e7730aea1a0faf7ff09ea20184700/6ca0b/images/dgqlkqjtmk.png","image/png","200","OK","1","0"
"https://github.com/bgoonz/resume-cv-portfolio-samples/raw/master/2021-resume/bryan-guner-resume-2021.pdf","","0","Blocked by robots.txt","1","1"
"https://jsfiddle.net/user/bgoonz","text/html; charset=utf-8","200","OK","1","1"
"https://en.wikipedia.org/wiki/2008_Stanley_Cup_playoffs","text/html; charset=UTF-8","200","OK","1","1"
"https://panoramic-eggplant-452e4.netlify.app/","","404","Not Found","1","174"
"https://medium.com/bgoonz","text/html; charset=utf-8","404","Not Found","1","1"
"https://search.freefind.com/siteindex.html?si=14588965","","0","Blocked by robots.txt","1","174"
"http://blmbadge.unicornplatform.com/","text/html","301","Moved Permanently","1","34"
"https://determined-dijkstra-ee7390.netlify.app/","text/html; charset=utf-8","200","OK","1","177"
"https://d33wubrfki0l68.cloudfront.net/b6e6b09f4479310dff86d8dd7af1b73762484f6a/fea3e/images/image-of-resume.png","image/png","200","OK","1","0"
"https://img.icons8.com/color/96/000000/instagram-new.png","image/png","200","OK","1","0"
"https://dev.to/bgoonz/scope-and-context-in-javascript-5cma","text/html; charset=utf-8","200","OK","1","1"
"https://en.wikipedia.org/wiki/Devils–Rangers_rivalry","text/html; charset=UTF-8","200","OK","1","1"
"https://img.shields.io/badge/-GitHub-05122A?style=flat&logo=github","image/svg+xml;charset=utf-8","200","OK","1","0"
"https://www.youtube.com/channel/UC9-rYyUMsnEBK8G8fCyrXXA/videos","text/html; charset=utf-8","200","OK","1","3"
"https://d33wubrfki0l68.cloudfront.net/5526a12bf60878b9f11c4907281345111ecb1b23/e8d70/images/my-back.png","image/png","200","OK","1","0"
"https://www.googletagmanager.com/ns.html?id=GTM-5S5XXNR","text/html; charset=UTF-8","200","OK","1","0"
"https://tinify-bucket.s3-us-west-1.amazonaws.com/blm-blue-round.png","image/png","200","OK","1","0"
"https://ternary42.netlify.app/","text/html; charset=UTF-8","200","OK","1","175"
"https://en.wikipedia.org/wiki/New_York_Rangers","text/html; charset=UTF-8","200","OK","1","1"
"https://d33wubrfki0l68.cloudfront.net/589475503098710e5f2f3c1a381015f69e6b4760/0be4d/images/neural.png","image/png","200","OK","1","0"
"https://web-dev-hub.com/","text/html; charset=UTF-8","200","OK","1","176"
"https://img.shields.io/badge/-Python-05122A?style=flat&logo=python","image/svg+xml;charset=utf-8","200","OK","1","0"
"https://d33wubrfki0l68.cloudfront.net/0632d060c928c60c91038c13991f85f0928bd723/edbf6/images/panoramic-owl.png","image/png","200","OK","1","0"
"https://twitter.com/bgooonz","text/html; charset=utf-8","200","OK","1","177"
"https://github.com/bgoonz/live-form","text/html; charset=utf-8","200","OK","2","4"
"https://github.com/bgoonz/INTERVIEW-PREP-COMPLETE","text/html; charset=utf-8","200","OK","2","7"
"https://mihirbegmusiclab.netlify.app/","text/html; charset=UTF-8","200","OK","1","2"
"https://github.com/bgoonz/https___mihirbeg.com_","text/html; charset=utf-8","200","OK","2","4"
"https://github.com/bgoonz/old-code-from-undergrad","text/html; charset=utf-8","200","OK","2","3"
"https://minnesotafreedomfund.org/","","0","DNS lookup failed","1","34"
"https://github.com/bgoonz/random-list-of-embedable-content","text/html; charset=utf-8","200","OK","2","6"
"https://github.com/bgoonz/live-examples","text/html; charset=utf-8","200","OK","2","3"
