"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Image","https://bgoonz-blog.netlify.app/","https://d33wubrfki0l68.cloudfront.net/f318a0bdc5403fb9b59683b46e3c9ec2d75d2ed2/7de75/images/pleasant-birch.png","251187","img of react","","200","OK","true","","","Absolute","//body/div[@id='___gatsby']/div[@id='gatsby-focus-wrapper']/div/main/section[@id='features']/div/div/div/div[@class='grid-item'][5]/div/div[@class='grid-item-image']/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/","https://assets.stackbit.com/components/images/default/post-4.jpeg","15213","Placeholder Image","","200","OK","true","","","Absolute","//body/div[@id='___gatsby']/div[@id='gatsby-focus-wrapper']/div/main/section[@id='lorem-ipsum'][2]/div/div/div/div[@class='outer']/p[2]/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/docs/javascript/for-loops/","https://assets.stackbit.com/components/images/default/post-4.jpeg","15213","Placeholder Image","","200","OK","true","","","Absolute","//body/div[@id='___gatsby']/div[@id='gatsby-focus-wrapper']/div/main/div/div[@class='docs-content']/article/div/div/p[2]/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/","https://d33wubrfki0l68.cloudfront.net/fb22b10eaa16e4ac0690115bf6c6987350d38d4b/13c10/images/eventloop.gif","881793","lorem-ipsum","","200","OK","true","","","Absolute","//body/div[@id='___gatsby']/div[@id='gatsby-focus-wrapper']/div/main/section[@id='interests']/div/div[@class='block-content']/div/div[@class='grid-item'][4]/div/div[@class='grid-item-image']/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/","https://img.shields.io/badge/-JavaScript-05122A?style=flat&logo=javascript","0","JavaScript","","200","OK","true","","","Absolute","//body/div[@id='___gatsby']/div[@id='gatsby-focus-wrapper']/div/main/section[@id='Intro']/div[@class='inner-sm']/div[@class='block-content']/p[7]/img[4]","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/","https://img.shields.io/badge/-MongoDB-05122A?style=flat&logo=mongodb","0","MongoDB","","200","OK","true","","","Absolute","//body/div[@id='___gatsby']/div[@id='gatsby-focus-wrapper']/div/main/section[@id='Intro']/div[@class='inner-sm']/div[@class='block-content']/p[7]/img[9]","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/","https://api.netlify.com/api/v1/badges/a1b7ee1a-11a7-4bd2-a341-2260656e216f/deploy-status","0","Netlify Status","","200","OK","true","","","Absolute","//body/div[@id='___gatsby']/div[@id='gatsby-focus-wrapper']/div/main/section[@id='Intro']/div[@class='inner-sm']/div[@class='block-content']/p[4]/a/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/","https://d33wubrfki0l68.cloudfront.net/b7d9a8db0d3618dc455abcd5a1eba992281ab78a/2f5a7/images/smiling-maple.png","360596","python","","200","OK","true","","","Absolute","//body/div[@id='___gatsby']/div[@id='gatsby-focus-wrapper']/div/main/section[@id='features']/div/div/div/div[@class='grid-item'][2]/div/div[@class='grid-item-image']/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/","https://img.shields.io/badge/-Node.js-05122A?style=flat&logo=node.js","0","Node.js","","200","OK","true","","","Absolute","//body/div[@id='___gatsby']/div[@id='gatsby-focus-wrapper']/div/main/section[@id='Intro']/div[@class='inner-sm']/div[@class='block-content']/p[7]/img[6]","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/","https://img.shields.io/badge/-CSS-05122A?style=flat&logo=CSS3&logoColor=1572B6","0","CSS","","200","OK","true","","","Absolute","//body/div[@id='___gatsby']/div[@id='gatsby-focus-wrapper']/div/main/section[@id='Intro']/div[@class='inner-sm']/div[@class='block-content']/p[7]/img[3]","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/","https://api.searchbar.org/img/logo.svg","0","","","200","OK","true","","","Absolute","//body/div[@id='sb-search']/div[@id='sb-modal']/div/div[@class='sb-results']/div[@class='sb-brand']/a/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/docs/community/","https://api.searchbar.org/img/logo.svg","0","","","200","OK","true","","","Absolute","//body/div[@id='sb-search']/div[@id='sb-modal']/div/div[@class='sb-results']/div[@class='sb-brand']/a/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/docs/javascript/","https://api.searchbar.org/img/logo.svg","0","","","200","OK","true","","","Absolute","//body/div[@id='sb-search']/div[@id='sb-modal']/div/div[@class='sb-results']/div[@class='sb-brand']/a/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/docs/data-structures/","https://api.searchbar.org/img/logo.svg","0","","","200","OK","true","","","Absolute","//body/div[@id='sb-search']/div[@id='sb-modal']/div/div[@class='sb-results']/div[@class='sb-brand']/a/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/docs/python/functions/","https://api.searchbar.org/img/logo.svg","0","","","200","OK","true","","","Absolute","//body/div[@id='sb-search']/div[@id='sb-modal']/div/div[@class='sb-results']/div[@class='sb-brand']/a/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/docs/articles/reading-files/","https://api.searchbar.org/img/logo.svg","0","","","200","OK","true","","","Absolute","//body/div[@id='sb-search']/div[@id='sb-modal']/div/div[@class='sb-results']/div[@class='sb-brand']/a/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/docs/interact/video-chat/","https://api.searchbar.org/img/logo.svg","0","","","200","OK","true","","","Absolute","//body/div[@id='sb-search']/div[@id='sb-modal']/div/div[@class='sb-results']/div[@class='sb-brand']/a/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/docs/docs/bash/","https://api.searchbar.org/img/logo.svg","0","","","200","OK","true","","","Absolute","//body/div[@id='sb-search']/div[@id='sb-modal']/div/div[@class='sb-results']/div[@class='sb-brand']/a/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/docs/quick-reference/all-emojis/","https://api.searchbar.org/img/logo.svg","0","","","200","OK","true","","","Absolute","//body/div[@id='sb-search']/div[@id='sb-modal']/div/div[@class='sb-results']/div[@class='sb-brand']/a/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/docs/audio/dtw-python-explained/","https://api.searchbar.org/img/logo.svg","0","","","200","OK","true","","","Absolute","//body/div[@id='sb-search']/div[@id='sb-modal']/div/div[@class='sb-results']/div[@class='sb-brand']/a/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/docs/about/resume/","https://api.searchbar.org/img/logo.svg","0","","","200","OK","true","","","Absolute","//body/div[@id='sb-search']/div[@id='sb-modal']/div/div[@class='sb-results']/div[@class='sb-brand']/a/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/docs/content/history-api/","https://api.searchbar.org/img/logo.svg","0","","","200","OK","true","","","Absolute","//body/div[@id='sb-search']/div[@id='sb-modal']/div/div[@class='sb-results']/div[@class='sb-brand']/a/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/docs/interact/jupyter-notebooks/","https://api.searchbar.org/img/logo.svg","0","","","200","OK","true","","","Absolute","//body/div[@id='sb-search']/div[@id='sb-modal']/div/div[@class='sb-results']/div[@class='sb-brand']/a/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/docs/react/cheatsheet/","https://api.searchbar.org/img/logo.svg","0","","","200","OK","true","","","Absolute","//body/div[@id='sb-search']/div[@id='sb-modal']/div/div[@class='sb-results']/div[@class='sb-brand']/a/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/docs/python/examples/","https://api.searchbar.org/img/logo.svg","0","","","200","OK","true","","","Absolute","//body/div[@id='sb-search']/div[@id='sb-modal']/div/div[@class='sb-results']/div[@class='sb-brand']/a/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/docs/quick-reference/pull-request-rubric/","https://api.searchbar.org/img/logo.svg","0","","","200","OK","true","","","Absolute","//body/div[@id='sb-search']/div[@id='sb-modal']/div/div[@class='sb-results']/div[@class='sb-brand']/a/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/docs/articles/semantic/","https://api.searchbar.org/img/logo.svg","0","","","200","OK","true","","","Absolute","//body/div[@id='sb-search']/div[@id='sb-modal']/div/div[@class='sb-results']/div[@class='sb-brand']/a/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/docs/articles/node-js-language/","https://api.searchbar.org/img/logo.svg","0","","","200","OK","true","","","Absolute","//body/div[@id='sb-search']/div[@id='sb-modal']/div/div[@class='sb-results']/div[@class='sb-brand']/a/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/docs/quick-reference/git-bash/","https://api.searchbar.org/img/logo.svg","0","","","200","OK","true","","","Absolute","//body/div[@id='sb-search']/div[@id='sb-modal']/div/div[@class='sb-results']/div[@class='sb-brand']/a/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/docs/articles/node-repl/","https://api.searchbar.org/img/logo.svg","0","","","200","OK","true","","","Absolute","//body/div[@id='sb-search']/div[@id='sb-modal']/div/div[@class='sb-results']/div[@class='sb-brand']/a/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/docs/articles/basic-web-dev/","https://api.searchbar.org/img/logo.svg","0","","","200","OK","true","","","Absolute","//body/div[@id='sb-search']/div[@id='sb-modal']/div/div[@class='sb-results']/div[@class='sb-brand']/a/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/docs/audio/web-audio-api/","https://api.searchbar.org/img/logo.svg","0","","","200","OK","true","","","Absolute","//body/div[@id='sb-search']/div[@id='sb-modal']/div/div[@class='sb-results']/div[@class='sb-brand']/a/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/docs/articles/writing-files/","https://api.searchbar.org/img/logo.svg","0","","","200","OK","true","","","Absolute","//body/div[@id='sb-search']/div[@id='sb-modal']/div/div[@class='sb-results']/div[@class='sb-brand']/a/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/docs/career/dev-interview/","https://api.searchbar.org/img/logo.svg","0","","","200","OK","true","","","Absolute","//body/div[@id='sb-search']/div[@id='sb-modal']/div/div[@class='sb-results']/div[@class='sb-brand']/a/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/docs/interact/clock/","https://api.searchbar.org/img/logo.svg","0","","","200","OK","true","","","Absolute","//body/div[@id='sb-search']/div[@id='sb-modal']/div/div[@class='sb-results']/div[@class='sb-brand']/a/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/docs/faq/contact/","https://api.searchbar.org/img/logo.svg","0","","","200","OK","true","","","Absolute","//body/div[@id='sb-search']/div[@id='sb-modal']/div/div[@class='sb-results']/div[@class='sb-brand']/a/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/docs/tools/data-structures/","https://api.searchbar.org/img/logo.svg","0","","","200","OK","true","","","Absolute","//body/div[@id='sb-search']/div[@id='sb-modal']/div/div[@class='sb-results']/div[@class='sb-brand']/a/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/docs/interview/review-concepts/","https://api.searchbar.org/img/logo.svg","0","","","200","OK","true","","","Absolute","//body/div[@id='sb-search']/div[@id='sb-modal']/div/div[@class='sb-results']/div[@class='sb-brand']/a/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/docs/tutorials/enviorment-setup/","https://api.searchbar.org/img/logo.svg","0","","","200","OK","true","","","Absolute","//body/div[@id='sb-search']/div[@id='sb-modal']/div/div[@class='sb-results']/div[@class='sb-brand']/a/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/docs/javascript/constructor-functions/","https://api.searchbar.org/img/logo.svg","0","","","200","OK","true","","","Absolute","//body/div[@id='sb-search']/div[@id='sb-modal']/div/div[@class='sb-results']/div[@class='sb-brand']/a/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/docs/audio/audio/","https://api.searchbar.org/img/logo.svg","0","","","200","OK","true","","","Absolute","//body/div[@id='sb-search']/div[@id='sb-modal']/div/div[@class='sb-results']/div[@class='sb-brand']/a/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/docs/articles/nextjs/","https://api.searchbar.org/img/logo.svg","0","","","200","OK","true","","","Absolute","//body/div[@id='sb-search']/div[@id='sb-modal']/div/div[@class='sb-results']/div[@class='sb-brand']/a/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/docs/articles/node-api-express/","https://api.searchbar.org/img/logo.svg","0","","","200","OK","true","","","Absolute","//body/div[@id='sb-search']/div[@id='sb-modal']/div/div[@class='sb-results']/div[@class='sb-brand']/a/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/","https://img.shields.io/badge/-Git-05122A?style=flat&logo=git","0","Git","","200","OK","true","","","Absolute","//body/div[@id='___gatsby']/div[@id='gatsby-focus-wrapper']/div/main/section[@id='Intro']/div[@class='inner-sm']/div[@class='block-content']/p[7]/img[11]","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/","https://img.shields.io/badge/-Markdown-05122A?style=flat&logo=markdown","0","Markdown","","200","OK","true","","","Absolute","//body/div[@id='___gatsby']/div[@id='gatsby-focus-wrapper']/div/main/section[@id='Intro']/div[@class='inner-sm']/div[@class='block-content']/p[7]/img[14]","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/","https://img.shields.io/badge/-Visual%20Studio%20Code-05122A?style=flat&logo=visual-studio-code&logoColor=007ACC","0","Visual Studio Code","","200","OK","true","","","Absolute","//body/div[@id='___gatsby']/div[@id='gatsby-focus-wrapper']/div/main/section[@id='Intro']/div[@class='inner-sm']/div[@class='block-content']/p[7]/img[7]","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/","https://img.shields.io/badge/-GitLab-05122A?style=flat&logo=gitlab","0","GitLab","","200","OK","true","","","Absolute","//body/div[@id='___gatsby']/div[@id='gatsby-focus-wrapper']/div/main/section[@id='Intro']/div[@class='inner-sm']/div[@class='block-content']/p[7]/img[13]","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/","https://img.icons8.com/color/96/000000/linkedin.png","1374","","","200","OK","true","","","Absolute","//body/div[@id='___gatsby']/div[@id='gatsby-focus-wrapper']/div/main/section[@id='Intro']/div[@class='inner-sm']/div[@class='block-content']/p[2]/a[6]/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/docs/community/","https://img.icons8.com/color/96/000000/linkedin.png","1374","linkedin","","200","OK","true","","","Absolute","//body/div[@id='___gatsby']/div[@id='gatsby-focus-wrapper']/div/main/div/div[@class='docs-content']/article/div/div/div[1]/p/a[7]/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/docs/about/","https://img.icons8.com/color/96/000000/linkedin.png","1374","linkedin","","200","OK","true","","","Absolute","//body/div[@id='___gatsby']/div[@id='gatsby-focus-wrapper']/div/main/div/div[@class='docs-content']/article/div/div/div/p[3]/a[6]/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/","https://img.icons8.com/color/96/000000/pinterest--v1.png","3905","","","200","OK","true","","","Absolute","//body/div[@id='___gatsby']/div[@id='gatsby-focus-wrapper']/div/main/section[@id='Intro']/div[@class='inner-sm']/div[@class='block-content']/p[2]/a[5]/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/docs/community/","https://img.icons8.com/color/96/000000/pinterest--v1.png","3905","pinterest","","200","OK","true","","","Absolute","//body/div[@id='___gatsby']/div[@id='gatsby-focus-wrapper']/div/main/div/div[@class='docs-content']/article/div/div/div[1]/p/a[6]/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/","https://img.shields.io/badge/-Docker-05122A?style=flat&logo=Docker","0","Docker","","200","OK","true","","","Absolute","//body/div[@id='___gatsby']/div[@id='gatsby-focus-wrapper']/div/main/section[@id='Intro']/div[@class='inner-sm']/div[@class='block-content']/p[7]/img[8]","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/","https://d33wubrfki0l68.cloudfront.net/beba3d8052852cedc7fd41d9d05b4dffd4ea1136/d32f7/images/spectacular-turmeric.png","93739","angolia","","200","OK","true","","","Absolute","//body/div[@id='___gatsby']/div[@id='gatsby-focus-wrapper']/div/main/section[@id='interests']/div/div[@class='block-content']/div/div[@class='grid-item'][1]/div/div[@class='grid-item-image']/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/","https://d33wubrfki0l68.cloudfront.net/0acc9a99716e3820bc8a6fa4fc9a5988e380f214/932fa/images/njdev-219301cd.jpg","15401","nj-devils","","200","OK","true","","","Absolute","//body/div[@id='___gatsby']/div[@id='gatsby-focus-wrapper']/div/main/section[@id='interests']/div/div[@class='block-content']/div/div[@class='grid-item'][5]/div/div[@class='grid-item-image']/img","Content","HTML"
"Image","https://bgoonz-blog.netlify.app/","https://d33wubrfki0l68.cloudfront.net/f776b2f35588e0ab71789925ce9564924154c4cf/df9d3/images/jamstack.png","99924","jamstack","","200","OK","true","","","Absolute","//body/div[@id='___gatsby']/div[@id='gatsby-focus-wrapper']/div/main/section[@id='interests']/div/div[@class='block-content']/div/div[@class='grid-item'][3]/div/div[@class='grid-item-image']/img","Content","HTML"
