"Address","Content Type","Size (bytes)","IMG Inlinks","Indexability","Indexability Status"
"https://github-readme-stats.vercel.app/api/pin/?username=bgoonz&repo=jsanimate","image/svg+xml; charset=utf-8","0","1","Indexable",""
"https://github-readme-stats.vercel.app/api/pin/?username=bgoonz&repo=Javascript-Best-Practices_--Tools","image/svg+xml; charset=utf-8","0","1","Indexable",""
"https://github-readme-stats.vercel.app/api/pin/?username=bgoonz&repo=convert-folder-contents-2-website","image/svg+xml; charset=utf-8","0","1","Indexable",""
"https://github-readme-stats.vercel.app/api/pin/?username=bgoonz&repo=alternate-blog-theme","image/svg+xml; charset=utf-8","0","1","Indexable",""
"https://github-readme-stats.vercel.app/api/pin/?username=bgoonz&repo=Jupyter-Notebooks","image/svg+xml; charset=utf-8","0","1","Indexable",""
"https://github-readme-stats.vercel.app/api/pin/?username=bgoonz&repo=anki-cards","image/svg+xml; charset=utf-8","0","1","Indexable",""
"https://github-readme-stats.vercel.app/api/pin/?username=bgoonz&repo=Connect-Four-Final-Version","image/svg+xml; charset=utf-8","0","1","Indexable",""
"https://github-readme-stats.vercel.app/api/pin/?username=bgoonz&repo=ask-me-anything","image/svg+xml; charset=utf-8","0","1","Indexable",""
"https://github-readme-stats.vercel.app/api/pin/?username=bgoonz&repo=EXPRESS-NOTES","image/svg+xml; charset=utf-8","0","1","Indexable",""
"https://github-readme-stats.vercel.app/api/pin/?username=bgoonz&repo=JAMSTACK-TEMPLATES","image/svg+xml; charset=utf-8","0","1","Indexable",""
"https://github-readme-stats.vercel.app/api/pin/?username=bgoonz&repo=Authentication-Notes","image/svg+xml; charset=utf-8","0","1","Indexable",""
"https://github-readme-stats.vercel.app/api/pin/?username=bgoonz&repo=full-stack-react-redux","image/svg+xml; charset=utf-8","0","1","Indexable",""
"https://github-readme-stats.vercel.app/api/pin/?username=bgoonz&repo=fast-fourier-transform-","image/svg+xml; charset=utf-8","0","1","Indexable",""
"https://github-readme-stats.vercel.app/api/pin/?username=bgoonz&repo=INTERVIEW-PREP-COMPLETE","image/svg+xml; charset=utf-8","0","1","Indexable",""
"https://github-readme-stats.vercel.app/api/pin/?username=bgoonz&repo=form-builder-vanilla-js","image/svg+xml; charset=utf-8","0","1","Indexable",""
"https://github-readme-stats.vercel.app/api/pin/?username=bgoonz&repo=atlassian-templates","image/svg+xml; charset=utf-8","0","1","Indexable",""
"https://github-readme-stats.vercel.app/api/pin/?username=bgoonz&repo=a-whole-bunch-o-gatsby-templates","image/svg+xml; charset=utf-8","0","1","Indexable",""
"https://github-readme-stats.vercel.app/api/pin/?username=bgoonz&repo=Comments","image/svg+xml; charset=utf-8","0","1","Indexable",""
