"#";"Url";"Type";"Anchor";"No-follow";"Google cachedate";"Facebook likes";"Google index";"Yahoo index";"Bing index";"Alexa rank";"SEMrush Rank";"SEMrush SE Traffic";"SEMrush backlinks"
"68";"https://bgoonz-blog.netlify.app/docs/career/job-boards/";"text";"Job Board";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"69";"https://bgoonz-blog.netlify.app/docs/career/dev-interview/";"text";"Developer Interview Questions";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"70";"https://bgoonz-blog.netlify.app/docs/community/";"text";"Community";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"71";"https://bgoonz-blog.netlify.app/docs/community/an-open-letter-2-future-developers/";"text";"New Developers";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"72";"https://bgoonz-blog.netlify.app/docs/community/video-chat/";"text";"Video Chat";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"73";"https://bgoonz-blog.netlify.app/docs/content/";"text";"Content";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"74";"https://bgoonz-blog.netlify.app/docs/content/history-api/";"text";"History API";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"75";"https://bgoonz-blog.netlify.app/docs/content/gatsby-Queries-Mutations/";"text";"Queries and Mutations (Gatsby)";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"76";"https://bgoonz-blog.netlify.app/docs/content/main-projects/";"text";"RECENT PROJECTS";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"77";"https://bgoonz-blog.netlify.app/docs/content/archive/";"text";"Archive";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"78";"https://bgoonz-blog.netlify.app/docs/content/trouble-shooting/";"text";"Trouble Shooting";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"79";"https://bgoonz-blog.netlify.app/docs/content/algo/";"text";"Algorithms & Data Structures";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"80";"https://bgoonz-blog.netlify.app/docs/data-structures/";"text";"Data Structures";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"81";"https://bgoonz-blog.netlify.app/docs/docs/";"text";"Docs";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"82";"https://bgoonz-blog.netlify.app/docs/docs/art-of-command-line/";"text";"Command Line Basics";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"83";"https://bgoonz-blog.netlify.app/docs/docs/appendix/";"text";"Apendix";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"84";"https://bgoonz-blog.netlify.app/docs/docs/css/";"text";"Learn Css";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"85";"https://bgoonz-blog.netlify.app/docs/docs/data-structures-docs/";"text";"Data Structures Docs";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"86";"https://bgoonz-blog.netlify.app/docs/docs/es-6-features/";"text";"ECMAScript 6";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"87";"https://bgoonz-blog.netlify.app/docs/docs/git-repos/";"text";"Git Repo List";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"88";"https://bgoonz-blog.netlify.app/docs/docs/git-reference/";"text";"Git Reference";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"89";"https://bgoonz-blog.netlify.app/docs/docs/markdown/";"text";"Markdown";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"90";"https://bgoonz-blog.netlify.app/docs/docs/regex-in-js/";"text";"Regular Expressions";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"91";"https://bgoonz-blog.netlify.app/docs/docs/sitemap/";"text";"Sitemap";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"92";"https://bgoonz-blog.netlify.app/docs/docs/bash/";"text";"Bash Commands That Save Me Time and Frustration";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"93";"https://bgoonz-blog.netlify.app/docs/docs/content/";"text";"Useful Snippets";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"94";"https://bgoonz-blog.netlify.app/docs/docs/node-docs-full/";"text";"Node Docs";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"95";"https://bgoonz-blog.netlify.app/docs/docs/no-whiteboarding/";"text";"lorem-ipsum";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"96";"https://bgoonz-blog.netlify.app/docs/docs/html-spec/";"text";"HTML SPEC";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"97";"https://bgoonz-blog.netlify.app/docs/docs/node-docs-complete/";"text";"Node Docs";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"98";"https://bgoonz-blog.netlify.app/docs/faq/";"text";"FAQ";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"99";"https://bgoonz-blog.netlify.app/docs/faq/plug-ins/";"text";"Plug-ins";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"100";"https://bgoonz-blog.netlify.app/docs/faq/contact/";"text";"Contact!";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"101";"https://bgoonz-blog.netlify.app/docs/interact/";"text";"Interactive";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"102";"https://bgoonz-blog.netlify.app/docs/interact/callstack-visual/";"text";"Callstack Visualizer";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"103";"https://bgoonz-blog.netlify.app/docs/interact/clock/";"text";"Clock";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"104";"https://bgoonz-blog.netlify.app/docs/interact/jupyter-notebooks/";"text";"Jupyter Notebooks";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"105";"https://bgoonz-blog.netlify.app/docs/interact/video-chat/";"text";"Zumzi Video Conferencing (Mesibo API Backend)";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"106";"https://bgoonz-blog.netlify.app/docs/interact/other-sites/";"text";"Other Websites";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"107";"https://bgoonz-blog.netlify.app/docs/javascript/";"text";"Javascript";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"108";"https://bgoonz-blog.netlify.app/docs/javascript/asyncjs/";"text";"AsynchAsynchronous JavaScript";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"109";"https://bgoonz-blog.netlify.app/docs/javascript/arrow-functions/";"text";"JS Fat Arrow Functions";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"110";"https://bgoonz-blog.netlify.app/docs/javascript/await-keyword/";"text";"Await";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"111";"https://bgoonz-blog.netlify.app/docs/javascript/bigo/";"text";"A Very Quick Guide To Calculating Big O Computational Complexity";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"112";"https://bgoonz-blog.netlify.app/docs/javascript/constructor-functions/";"text";"Constructor Functions";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"113";"https://bgoonz-blog.netlify.app/docs/javascript/this-is-about-this/";"text";"WhatisTHIS";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"114";"https://bgoonz-blog.netlify.app/docs/javascript/clean-code/";"text";"Clean Code";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"115";"https://bgoonz-blog.netlify.app/docs/javascript/promises/";"text";"Promises";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
"116";"https://bgoonz-blog.netlify.app/docs/javascript/review/";"text";"Javascript Concepts Review";"No";"?";"wait...";"26";"n/a";"42 ";"2709266";"28717492";"n/a";"wait..."
