"#";"Url";"Type";"Anchor";"No-follow";"Google cachedate";"Google index";"Yahoo index";"Bing index";"Alexa rank";"SEMrush Rank";"SEMrush SE Traffic";"SEMrush SE Traffic price";"SEMrush advertiser display ads";"SEMrush publisher display ads";"Baidu index";"SEMrush backlinks";"SEMrush subdomain backlinks";"SEMrush root domain backlinks"
"31";"https://search.freefind.com/find.html?si=14588965&m=0&p=0";"text";"sitemap";"No";"?";"1";"n/a";"142,000 ";"40351";"2656767";"226";"153";"0";"2";"n/a";"546";"22429186";"36196696"
"32";"https://search.freefind.com/find.html?si=14588965&pid=a";"text";"advanced";"No";"?";"1";"n/a";"142,000 ";"40351";"2656767";"226";"153";"0";"2";"n/a";"548";"22429186";"36196696"
"30";"https://search.freefind.com/siteindex.html?si=14588965";"text";"index";"No";"?";"1";"n/a";"142,000 ";"40351";"2656767";"226";"153";"0";"2";"n/a";"546";"22429186";"36196696"
"23";"https://ternary42.netlify.app/";"text";"Ternary 2 If Else";"No";"?";"1";"n/a";"n/a";"n/a";"37988701";"n/a";"n/a";"25998";"0";"n/a";"251";"251";"251"
"36";"https://twitter.com/bgooonz";"text";"Twitter";"No";"?";"2,420,000,000";"n/a";"537,000,000 ";"35";"19";"201160850";"177181424";"52913";"34";"n/a";"700";"63136880884";"68402400170"
"19";"https://web-dev-hub.com/";"text";"Wordpress Blog";"No";"?";"75";"n/a";"23 ";"n/a";"54708192";"n/a";"n/a";"0";"0";"n/a";"832";"927";"927"
"26";"https://web-dev-interview-prep-quiz-website.netlify.app/";"text";"WebDev Quizzes";"No";"?";"6";"n/a";"n/a";"n/a";"n/a";"n/a";"n/a";"25998";"0";"n/a";"245";"257";"257"
"5";"https://web-dev-resource-hub.netlify.app/";"text";"OG-Blog";"No";"n/a";"7";"n/a";"n/a";"n/a";"21908505";"n/a";"n/a";"25998";"0";"n/a";"327";"1322";"1322"
"33";"https://www.freefind.com/";"text";"search engine";"Yes";"?";"93";"n/a";"78 ";"40351";"2656767";"226";"153";"0";"2";"60";"6431092";"12201972";"36360644"
"";"";"text";"by freefind";"Yes"
"40";"https://www.instagram.com/bgoonz/?hl=en";"text";"Instagram";"No";"?";"700,000,000";"n/a";"157,000,000 ";"23";"7";"489854435";"465850778";"627652";"0";"n/a";"649";"43007706673";"52317743272"
"37";"https://www.linkedin.com/in/bryan-guner-046199128/";"text";"LinkedIn";"No";"?";"278,000,000";"n/a";"13,200,000 ";"45";"33";"115394580";"185200687";"243169";"30";"n/a";"713";"13160956088";"15650424552"
"39";"https://www.youtube.com/channel/UC9-rYyUMsnEBK8G8fCyrXXA";"text";"Youtube";"No";"?";"3,910,000,000";"n/a";"n/a";"2";"3";"1206080530";"924142403";"2208814";"6";"n/a";"610";"42373793874";"45609923284"
